deutsch;latein;laktion;type
klein, gering;parv;6;dreiendig
zufrieden;content;6;dreiendig
grosz, bedeutend;magn;6;dreiendig
viel;mult;6;dreiendig
kein;null;6;dreiendig
erstaunlich, sonderbar;mir;6;dreiendig
gut, tueuechtig;bon;6;dreiendig
bunt, verschieden, vielfältig;vari;7;dreiendig
viel, vieles;mult;7;dreiendig
hoch, tief;alt;7;dreiendig
allein, einzig;sol;7;dreiendig
froh, froeoehlich;laet;7;dreiendig
ausgezeichnet, hervorragend;egregi;8;dreiendig
der beste, sehr gut;optim;8;dreiendig
wenige;pauc;8;dreiendig
einer, ein einziger;un;8;dreiendig
schlecht, schlimm ,böse;mal;8;dreiendig
alle, alle zusammen;cunct;8;dreiendig
ein anderer;ali;8;dreiendig