Inf_Deutsch;Wortstamm;Konjugation;Lektion;Personalendung;Sprechvokal
stehen;st;a-Konjugation;1;;a-Konjugation
denken, nachdenken, beabsichtigen;cogit;a-Konjugation;1;;a-Konjugation
laut rufen, schreien;clam;a-Konjugation;1;;a-Konjugation
kommen;veni;i-Konjugation;1;;i-Konjugation
lachen, auslachen;ride;e-Konjugation;1;;e-Konjugation
mueuessen, sollen, schulden;debe;e-Konjugation;1;;e-Konjugation
zoeoegern, zweifeln;dubit;a-Konjugation;1;;a-Konjugation
sich freuen;gaude;e-Konjugation;1;;e-Konjugation
betrachten, anschauen, zuschauen;spect;a-Konjugation;1;;a-Konjugation
wagen;aude;e-Konjugation;1;;e-Konjugation
bitten, beten, anbeten;or;a-Konjugation;1;;a-Konjugation
sehen;vide;e-Konjugation;1;;e-Konjugation
sein, sich befinden;;special;1;no;esse
warten, erwarten;exspect;a-Konjugation;2;;a-Konjugation
eilen, sich beeilen;proper;a-Konjugation;2;;a-Konjugation
finden, wiederfinden;reperi;i-Konjugation;2;;i-Konjugation
betreten, hineingehen;intr;a-Konjugation;2;;a-Konjugation
oeoeffnen, aufdecken;aperi;i-Konjugation;2;;i-Konjugation
sitzen;sede;e-Konjugation;2;;e-Konjugation
hoeoeren;audi;i-Konjugation;2;;i-Konjugation
halten, festhalten, besitzen;tene;e-Konjugation;2;;e-Konjugation
fordern, verlangen;postul;a-Konjugation;2;;a-Konjugation
verletzen, beleidigen;viol;a-Konjugation;2;;a-Konjugation
gesund sein, stark sein, Einfluss haben;vale;e-Konjugation;2;;e-Konjugation
fragen, bitten;rog;a-Konjugation;2;;a-Konjugation
vermissen, verlangen, sich sehnen nach;desider;a-Konjugation;2;;a-Konjugation
wissen, kennen, verstehen;sci;i-Konjugation;2;;i-Konjugation
toeoeten;nec;a-Konjugation;2;;a-Konjugation
vorbereiten, bereiten, vorhaben, erwerben, (vor)bereiten;par;a-Konjugation;3;;a-Konjugation
ertragen, standhalten;sustine;e-Konjugation;3;;e-Konjugation
abhalten, hindern, verhindern;prohibe;e-Konjugation;3;;e-Konjugation
antworten;responde;e-Konjugation;3;;e-Konjugation
anzeigen, melden;indic;a-Konjugation;3;;a-Konjugation
leugnen, verneinen, verweigern;neg;a-Konjugation;3;;a-Konjugation
prueuefen, beweisen, fueuer gut befinden;prob;a-Konjugation;3;;a-Konjugation
sorgen fueuer;provide;e-Konjugation;3;;e-Konjugation
rufen, nennen;voc;a-Konjugation;3;;a-Konjugation
besiegen, ueueberwinden, ueuebertreffen;super;a-Konjugation;3;;a-Konjugation
versuchen, prueuefen, angreifen;tempt;a-Konjugation;3;;a-Konjugation
vorsichtig sein, sich hueueten, sich hueueten vor, sich hueueten (vor);cave;e-Konjugation;3;;e-Konjugation
nicht dueuerfen, nicht mueuessen;non debe;e-Konjugation;3;;e-Konjugation
gefallen;place;e-Konjugation;3;;e-Konjugation
gehorchen;pare;e-Konjugation;3;;e-Konjugation
ueuebergeben, einen Auftrag geben;mand;a-Konjugation;3;;a-Konjugation
bevorstehen, bedraeaengen, bedrohen;inst;a-Konjugation;3;;a-Konjugation
Dank schulden;gratiam debe;e-Konjugation;3;;e-Konjugation
nicht wissen, nicht kennen, nicht verstehen;nesci;i-Konjugation;4;;i-Konjugation
genau wissen, genau kennen;non nesci;i-Konjugation;4;;i-Konjugation
lieben;am;a-Konjugation;4;;a-Konjugation
im Gedaeaechtnis behalten;memoria tene;e-Konjugation;4;;e-Konjugation
fueuerchten, Angst haben, Angst haben vor, Angst haben (vor);time;e-Konjugation;4;;e-Konjugation
fueuehlen, meinen, wahrnehmen;senti;i-Konjugation;4;;i-Konjugation
brennen;arde;e-Konjugation;4;;e-Konjugation
rufen, anrufen, nennen;apell;a-Konjugation;4;;a-Konjugation
treiben, betreiben, ueueberlegen;agit;a-Konjugation;4;;a-Konjugation
erschrecken;terre;e-Konjugation;4;;e-Konjugation
meiden, vermeiden;vit;a-Konjugation;4;;a-Konjugation
veraeaendern, verwandeln;mut;a-Konjugation;4;;a-Konjugation
umringen, umzingeln;circumveni;i-Konjugation;4;;i-Konjugation
wollen;;special;4;no;velle
nicht wollen;;special;4;no;nolle
schenken;don;a-Konjugation;5;;a-Konjugation
fueuehren, ziehen;duc;kons-Konjugation;5;;kons-Konjugation
zeigen, erklaeaeren;ostend;kons-Konjugation;5;;kons-Konjugation
erkennen, kennenlernen;cognosc;kons-Konjugation;5;;kons-Konjugation
sagen, sprechen;dic;kons-Konjugation;5;;kons-Konjugation
verehren, bewirtschaften, pflegen;col;kons-Konjugation;5;;kons-Konjugation
leben;viv;kons-Konjugation;5;;kons-Konjugation
zwingen etwas zu tun, zwingen, zwingen (etwas zu tun), sammeln, versammeln, (ver)sammeln;cog;kons-Konjugation;5;;kons-Konjugation
stehen bleiben, Widerstand leisten;resist;kons-Konjugation;5;;kons-Konjugation
bitten, verlangen, streben, streben nach, streben (nach), aufsuchen, angreifen;pet;kons-Konjugation;5;;kons-Konjugation
berueuehren;tang;kons-Konjugation;5;;kons-Konjugation
anzueuenden, anfueueren;accend;kons-Konjugation;5;;kons-Konjugation
lesen, auswaeaehlen;leg;kons-Konjugation;5;;kons-Konjugation
schreiben, beschreiben;scrib;kons-Konjugation;5;;kons-Konjugation
finden, erfinden;inveni;i-Konjugation;5;;i-Konjugation
aufstellen, grueuenden, festsetzen, beschlieszen;constitu;kons-Konjugation;5;;kons-Konjugation
erhalten, erfahren, annehmen;accip;kons-Konjugation;6;;kons-Konjugation
wollen, wueuenschen, verlangen;cup;kons-Konjugation;6;;kons-Konjugation
haben, halten;habe;e-Konjugation;6;;e-Konjugation
nehmen, fassen, greifen, erobern;cap;kons-Konjugation;6;;kons-Konjugation
anfangen, beginnen;incip;kons-Konjugation;6;;kons-Konjugation
lehren, unterrichten;doce;e-Konjugation;6;;e-Konjugation
loben;laud;a-Konjugation;6;;a-Konjugation
sich beschäftigen, sich bemühen, streben nach;stude;e-Konjugation;8;;e-Konjugation
liegen;iac;e-Konjugation;8;;e-Konjugation
schweigen, verschweigen;tace;e-Konjugation;7;;e-Konjugation
herbeikommen, hingehen, sich nähern;acced;kons-Konjugation;7;;kons-Konjugation
fliehen (vor), fliehen, fliehen vor, entfliehen, meiden;fug;kons-Konjugation;7;;kons-Konjugation
fragen, suchen, erwerben wollen;quaer;kons-Konjugation;7;;kons-Konjugation
verkaufen;vend;kons-Konjugation;7;;kons-Konjugation
kaufen;em;kons-Konjugation;7;;kons-Konjugation
sich setzen, sich niederlassen;consid;kons-Konjugation;7;;kons-Konjugation
berühren;atting;kons-Konjugation;7;;kons-Konjugation
bemerken;animadvert;kons-Konjugation;7;;kons-Konjugation
wiederholen, (zurück)verlangen, zurückverlangen, verlangen;repet;kons-Konjugation;7;;kons-Konjugation
aufhören;desin;kons-Konjugation;8;;kons-Konjugation
schonen, verschonen;parc;kons-Konjugation;8;;kons-Konjugation
bitten, verlangen, streben;pet;kons-Konjugation;8;;kons-Konjugation
fliegen, eilen;vol;a-Konjugation;7;;a-Konjugation
werfen, schleudern;iact;a-Konjugation;7;;a-Konjugation
glauben, meinen, halten für;put;a-kons;8;;a-Konjugation
kämpfen;pugn;a-Konjugation;8;;a-Konjugation
abwesend sein, nicht da sein, fehlen;ab;special;7;no;esse
abwesend sein, fehlen, nicht da sein;de;special;7;no;esse
zusammenkommen, zusammenpassen, besuchen;conveni;i-Konjugation;7;;i-Konjugation
entreißen;erip;i-Konjugation;8;;i-Konjugation